"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 14:33:53"	"M"	"1 2"	1	2	15	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0019.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 14:33:54"	"M"	"2 2"	1	2	15	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0020.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 14:34:54"	"M"	"1 2"	2	2	15	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0021.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 14:34:55"	"M"	"2 2"	2	2	15	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0022.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 22:31:27"	"M"	"1 2"	3	2	8	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0023.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 22:31:27"	"M"	"2 2"	3	2	8	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0024.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 22:32:49"	"M"	"1 2"	4	2	8	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0025.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 22:32:49"	"M"	"2 2"	4	2	8	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-08_0026.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 01:00:00"	"T"	"0 0"	1	2	7	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 01:27:23"	"M"	"1 2"	5	2	6	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 01:27:23"	"M"	"2 2"	5	2	6	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0003.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 03:42:18"	"M"	"1 2"	6	2	6	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 03:42:18"	"M"	"2 2"	6	2	6	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0005.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 07:53:12"	"M"	"1 2"	7	2	9	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0006.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 07:53:12"	"M"	"2 2"	7	2	9	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0007.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 07:54:16"	"M"	"1 2"	8	2	9	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0008.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 07:54:16"	"M"	"2 2"	8	2	9	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0009.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 09:27:32"	"M"	"1 2"	9	2	10	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0010.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 09:27:32"	"M"	"2 2"	9	2	10	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0011.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 13:00:00"	"T"	"0 0"	2	2	7	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0012.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:36:15"	"M"	"1 2"	10	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0013.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:36:15"	"M"	"2 2"	10	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0014.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:38:49"	"M"	"1 2"	11	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0015.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:38:49"	"M"	"2 2"	11	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0016.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:40:38"	"M"	"1 2"	12	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0017.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 18:40:38"	"M"	"2 2"	12	2	5	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0018.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:57:56"	"M"	"1 2"	13	2	4	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0019.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:57:56"	"M"	"2 2"	13	2	4	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0020.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0029.JPG"	"IMG_0029.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:59:46"	"M"	"1 2"	14	2	4	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0021.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Komag/RNY08_ko_ry_hu_2/2020/IMG_0030.JPG"	"IMG_0030.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:59:46"	"M"	"2 2"	14	2	4	"S750HG02176123"	143	239	16	0	"ko_ry_hu_2_2019-07-09_0022.JPG"
