"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 02:23:27"	"M"	"1 2"	1	1	8	"S750HK04275578"	159	223	32	0	"vj_sk_hu_3_2019-07-07_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 02:23:28"	"M"	"2 2"	1	1	8	"S750HK04275578"	159	223	32	0	"vj_sk_hu_3_2019-07-07_0005.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:28:14"	"M"	"1 2"	2	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0006.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:28:14"	"M"	"2 2"	2	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0007.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:29:19"	"M"	"1 2"	3	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0008.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:29:20"	"M"	"2 2"	3	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0009.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:32:22"	"M"	"1 2"	4	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0010.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:32:23"	"M"	"2 2"	4	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0011.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:35:32"	"M"	"1 2"	5	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0012.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:35:33"	"M"	"2 2"	5	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0013.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:36:36"	"M"	"1 2"	6	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0014.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:36:36"	"M"	"2 2"	6	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0015.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:40:18"	"M"	"1 2"	7	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0016.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 05:40:18"	"M"	"2 2"	7	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0017.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 08:00:00"	"T"	"0 0"	1	1	7	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0018.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 09:12:27"	"M"	"1 2"	8	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0019.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 09:12:27"	"M"	"2 2"	8	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0020.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 09:49:25"	"M"	"1 2"	9	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0021.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 09:49:26"	"M"	"2 2"	9	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0022.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:19:39"	"M"	"1 2"	10	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0023.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:19:39"	"M"	"2 2"	10	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0024.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:20:39"	"M"	"1 2"	11	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0025.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:20:39"	"M"	"2 2"	11	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0026.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:21:56"	"M"	"1 2"	12	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0027.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:21:57"	"M"	"2 2"	12	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0028.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:26:34"	"M"	"1 2"	13	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0029.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:26:35"	"M"	"2 2"	13	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0030.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_sk_hu_3/2020/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:07 10:52:32"	"M"	"1 2"	14	1	6	"S750HK04275578"	143	239	16	0	"vj_sk_hu_3_2019-07-07_0031.JPG"
