"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 15:39:49"	"M"	"1 2"	1	4	12	"S750HK02272718"	159	223	32	0	"vj_re_sn_2_2019-07-15_0017.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 15:39:50"	"M"	"2 2"	1	4	12	"S750HK02272718"	159	223	32	0	"vj_re_sn_2_2019-07-15_0018.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 19:09:01"	"M"	"1 2"	2	4	10	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-15_0019.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 19:09:01"	"M"	"2 2"	2	4	10	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-15_0020.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 20:00:00"	"T"	"0 0"	1	4	9	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-15_0021.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 21:09:01"	"M"	"1 2"	3	4	8	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-15_0022.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:15 21:09:01"	"M"	"2 2"	3	4	8	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-15_0023.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:16 00:39:01"	"M"	"1 2"	4	4	6	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-16_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:16 00:39:01"	"M"	"2 2"	4	4	6	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-16_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Vestre Jakobselv/vj_re_sn_2/2020/100RECNX/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:16 04:09:01"	"M"	"1 2"	5	4	5	"S750HK02272718"	143	239	16	0	"vj_re_sn_2_2019-07-16_0003.JPG"
